brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
SAMSUNG,"₹42,990",Thin and Light Laptop,Graphite,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,1.3GHz up to 4.4GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,Yes,1.80 Kg,No,1 Year Onsite Warranty
Infinix,"₹36,990",Thin and Light Laptop,Grey,No,16 GB,LPDDR4X,Yes,512 GB,0,Intel,Core i5,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.1,1.24 Kg,,1 Year Onsite Warranty
ASUS,"₹40,990",Thin and Light Laptop,Transparent Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1135G7,2.4 GHz upto max turbo frequency at 4.2 Ghz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v4.1,1.80 kg,No,1 Year Onsite Warranty
HP,"₹25,649",Business Laptop,Black,No,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Dual Core,AMD Ryzen 3 3250U,2.6 GHz base clock,AMD Radeon AMD Radeon™ Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1366 x 768 pixel,60,Bluetooth® 5 combo,1.98 kg,No,1 Year Onsite Warranty
DELL,"₹47,480",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,V5.2,1.65 Kg,No,1 Year Onsite Warranty
HP,"₹25,749",Business Laptop,Black,No,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Dual Core,R3 3250,2.6GHz Upto 3.5GHz,AMD Radeon AMD,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1366 x 768 pixel,60,v4.0,1.74 Kg,No,1 Year Onsite warranty by OEM
ASUS,"₹29,990",Thin and Light Laptop,Transparent Silver,No,8 GB,DDR4,Yes,256 GB,0,Intel,Core i3,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v4.1,1.80 kg,No,1 Year Onsite Warranty
HP,"₹28,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Dual Core,3250U,2.60 GHz up to 3.50 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.69 Kg,No,1 Year Onsite Warranty
SAMSUNG,"₹61,990",Thin and Light Laptop,Silver,Yes,16 GB,DDR5,Yes,512 GB,0,Intel,Core i5,1240P,1.7 GHz to max turbo frequency at 4.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,33.78 cm (13.3 Inch),1920 x 1080 Pixel,60,Yes,0.87 Kg,Yes,1 Year Onsite Warranty
DELL,"₹35,890",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,96.52 cm (38 cm),1920 x 1080 Pixel,60,v5.2,1.65 Kg,No,1 Year Onsite Hardware Service
ASUS,"₹19,990",Thin and Light Laptop,Star Black,Yes,4 GB,DDR4,Yes,256 GB,0,Intel,Celeron Dual Core,N4020,Max Frequency Up to 2.8 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.57 Kg,Yes,1 Year Onsite Warranty
Infinix,"₹22,990",Thin and Light Laptop,Grey,No,8 GB,LPDDR4X,Yes,512 GB,0,Intel,Celeron Quad Core,JSL N5100,1.1GHz - 2.8GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.01 cm (15.36 inch),1920 x 1080 Pixel,60,v5.1,1.76 Kg,,1 Year Onsite Warranty
MSI,"₹32,990",Thin and Light Laptop,Classic Black,No,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
HP,"₹38,390",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v4.2,1.69 kg,No,1 Year Onsite Warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
