brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,1,1,27990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,39990.0,141.21199808219862,Intel Core i3
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.24,0,1,25990.0,157.3505121487356,Intel Core i3
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,1,1,27990.0,141.21199808219862,Intel Core i5
MSI,Gaming Laptop,0,8,512,0,NVIDIA GeForce GTX 1650,Windows 11 Home,0,60,1.86,0,2,39990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.8,1,1,47990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
Lenovo,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.65,0,1,25990.0,141.21199808219862,AMD Ryzen 3 Quad Core
DELL,Laptop,1,16,512,0,Intel Integrated UHD,Windows 11 Home,0,120,1.65,1,1,51990.0,141.21199808219862,Intel Core i5
Lenovo,Laptop,0,8,256,0,Intel Integrated Graphics,DOS,0,60,1.8,0,1,21590.0,141.21199808219862,Intel Celeron Dual Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.69,1,1,48990.0,141.21199808219862,Intel Core i5
DELL,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.65,0,1,44890.0,147.25315308036753,Intel Core i5
Acer,Notebook,0,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,28990.0,141.21199808219862,Intel Core i3
ASUS,Gaming Laptop,0,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,2.3,1,1,51990.0,141.21199808219862,Intel Core i5
Acer,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.49,1,1,31990.0,157.3505121487356,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.63,0,1,39990.0,141.21199808219862,AMD Ryzen 3 Quad Core
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.5,1,1,66990.0,242.5880862528841,Intel Core i5
DELL,Notebook,1,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.48,0,1,30391.0,157.3505121487356,Intel Core i3
HP,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.75,1,1,33990.0,141.21199808219862,AMD Ryzen 3 Quad Core
Lenovo,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.89,1,1,70190.0,141.50971698084905,Intel Core i5
Acer,Gaming Laptop,0,16,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,60,2.1,0,1,52990.0,141.21199808219862,Intel Core i5
HP,Thin and Light Laptop,1,16,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.69,1,1,50379.0,141.21199808219862,Intel Core i5
Acer,Thin and Light Laptop,0,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.59,0,1,34890.0,141.21199808219862,Intel Core i3
CHUWI,Laptop,0,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.39,0,1,16990.0,156.23455106966654,Intel Celeron Dual Core
ASUS,Gaming Laptop,0,8,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,144,2.3,1,1,47990.0,141.21199808219862,Intel Core i5
HP,Thin and Light Laptop,1,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.69,1,1,41990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
HP,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.69,0,1,51990.0,141.21199808219862,Intel Core i5
Acer,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.78,0,1,29990.0,141.21199808219862,AMD Ryzen 3 Quad Core
Lenovo,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.63,0,1,37990.0,141.21199808219862,Intel Core i3
HP,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,2.0,0,1,30950.0,100.45466986113651,Intel Core i3
Acer,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,32990.0,141.21199808219862,Intel Core i3
MSI,Gaming Laptop,0,16,512,0,NVIDIA GeForce GTX 1650,Windows 11 Home,0,60,1.86,0,2,42990.0,141.21199808219862,Intel Core i5
MSI,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.4,1,1,43990.0,157.3505121487356,Intel Core i5
Lenovo,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.65,0,1,37990.0,55.60088768506559,AMD Ryzen 5 Hexa Core
HP,Thin and Light Laptop,0,4,256,0,NIL,DOS,0,60,1.47,0,1,19979.0,100.45466986113651,AMD Athlon Dual Core
